time,motor,position,current
15.9143,24,1599,0
15.9464,25,1730,0
15.9947,3,316,-46
16.0263,4,3529,0
16.0583,5,1968,0
16.0903,6,3324,21
16.1223,7,1911,-17
16.1542,9,1567,0
16.1863,10,2354,-1
16.2182,11,2854,0
16.2501,12,896,0
16.2823,13,2049,0
16.3143,14,1585,0
16.3461,15,1604,0
16.3782,16,1811,7
16.4101,17,953,4
16.4421,18,2020,0
16.4741,19,1557,-42
16.5061,20,2207,0
16.5381,21,2080,0
16.5701,22,1220,0
16.6022,23,2075,0
16.6341,24,1599,0
16.6661,25,1730,0
16.7155,3,316,-46
16.746,4,3527,0
16.778,5,1968,0
16.81,6,3375,25
16.8422,7,1911,-13
16.874,9,1566,0
16.9063,10,2354,-2
16.938,11,2855,0
16.97,12,896,0
17.002,13,2049,0
17.034,14,1585,0
17.0659,15,1604,0
17.0982,16,1811,6
17.1303,17,953,3
17.162,18,2017,0
17.1939,19,1557,-42
17.2258,20,2208,0
17.2578,21,2080,0
17.2898,22,1220,0
17.3218,23,2075,0
17.3537,24,1599,0
17.3857,25,1730,0
17.4341,3,313,-125
17.4659,4,3529,0
17.4977,5,1969,0
17.5297,6,3374,26
17.5618,7,1911,-16
17.5938,9,1566,0
17.6258,10,2354,-2
17.6578,11,2854,0
17.6898,12,896,0
17.7217,13,2049,0
17.7537,14,1585,0
17.7857,15,1604,0
17.8177,16,1811,8
17.8497,17,953,3
17.8817,18,2019,0
17.914,19,1557,-43
17.9456,20,2208,0
17.9777,21,2080,0
18.0179,22,1220,0
18.0415,23,2075,0
18.0735,24,1599,0
18.1056,25,1730,0
18.154,3,285,-58
18.1855,4,3527,0
18.2175,5,1967,0
18.2495,6,3423,39
18.2816,7,1911,-13
18.3136,9,1566,0
18.3454,10,2354,-2
18.3775,11,2855,0
18.4095,12,896,0
18.4416,13,2049,0
18.4735,14,1585,0
18.5054,15,1604,0
18.5374,16,1810,8
18.5694,17,953,3
18.6014,18,2017,0
18.6334,19,1557,-43
18.6653,20,2207,0
18.6974,21,2080,0
18.7294,22,1220,0
18.7613,23,2075,0
18.7933,24,1599,0
18.8253,25,1730,0
18.8736,3,285,-53
18.9053,4,3528,0
18.9372,5,1968,0
18.9692,6,3456,63
19.0012,7,1911,-13
19.0332,9,1566,0
19.0652,10,2354,-1
19.0972,11,2855,0
19.1293,12,896,0
19.1611,13,2049,0
19.1932,14,1585,0
19.2252,15,1604,0
19.2572,16,1811,9
19.2891,17,953,3
19.3211,18,2018,0
19.3531,19,1557,-44
19.385,20,2207,0
19.417,21,2080,0
19.4491,22,1220,0
19.481,23,2075,0
19.513,24,1599,0
19.5452,25,1730,0
19.6413,3,285,-53
19.6732,4,3528,0
19.7049,5,1968,0
19.737,6,3456,65
19.7689,7,1911,-17
19.801,9,1566,0
19.8329,10,2354,-4
19.8649,11,2854,0
19.897,12,898,0
19.9289,13,2049,0
19.9611,14,1585,0
19.993,15,1604,0
20.0249,16,1828,111
20.0569,17,953,1
20.0889,18,2019,0
20.1208,19,1556,-46
20.1528,20,2211,-2
20.1849,21,2080,0
20.2168,22,1220,0
20.2488,23,2075,0
20.2808,24,1599,0
20.3129,25,1730,0
20.3622,3,285,-53
20.3927,4,3529,0
20.4247,5,1968,0
20.4568,6,3456,65
20.4887,7,1911,-18
20.5207,9,1566,0
20.5527,10,2355,-4
20.5848,11,2854,0
20.6167,12,899,-1
20.6487,13,2049,0
20.6807,14,1585,0
20.7126,15,1604,0
20.7448,16,1828,110
20.7767,17,959,26
20.8087,18,2019,0
20.8406,19,1556,-46
20.8726,20,2211,-5
20.9046,21,2080,0
20.9366,22,1220,0
20.9685,23,2075,0
21.0006,24,1599,0
21.0325,25,1730,0
21.081,3,285,-53
21.1126,4,3528,0
21.1447,5,1968,0
21.1766,6,3456,63
21.2085,7,1910,-14
21.2405,9,1566,0
21.2725,10,2355,-3
21.3045,11,2854,0
21.3365,12,899,-1
21.3683,13,2050,0
21.4004,14,1585,0
21.4324,15,1604,0
21.4644,16,1828,110
21.4964,17,959,28
21.5284,18,2020,7
21.5606,19,1556,-45
21.5924,20,2211,-8
21.6244,21,2080,0
21.6564,22,1220,0
21.6883,23,2075,0
21.7203,24,1599,0
21.7523,25,1730,0
21.8967,3,285,-52
21.9284,4,3528,0
21.9604,5,1968,0
21.9922,6,3456,63
22.0242,7,1911,-16
22.0562,9,1521,-42
22.0882,10,2354,-2
22.1201,11,2854,0
22.1522,12,899,-3
22.1844,13,2049,0
22.2163,14,1585,0
22.2486,15,1604,0
22.2803,16,1828,109
22.3123,17,960,26
22.3441,18,2021,2
22.3762,19,1556,-45
22.4081,20,2210,-7
22.4401,21,2080,0
22.4721,22,1220,0
22.504,23,2075,0
22.5361,24,1599,0
22.568,25,1730,0
22.6169,3,285,-54
22.648,4,3528,0
22.68,5,2008,17
22.712,6,3456,64
22.7442,7,1911,-15
22.7761,9,1521,-39
22.808,10,2354,-3
22.84,11,2853,0
22.872,12,899,-2
22.9039,13,2050,0
22.9359,14,1585,0
22.9679,15,1604,0
22.9999,16,1828,109
23.0319,17,960,28
23.0639,18,2021,4
23.096,19,1556,-45
23.128,20,2206,3
23.1599,21,2080,0
23.1921,22,1221,-5
23.2239,23,2075,0
23.2557,24,1599,0
23.288,25,1733,-2
23.3365,3,285,-54
23.3678,4,3529,0
23.3998,5,2012,34
23.4317,6,3457,64
23.4766,7,1911,-16
23.5117,9,1521,-41
23.5437,10,2355,-5
23.5758,11,2846,-20
23.6078,12,899,-2
23.6397,13,2050,0
23.6718,14,1585,0
23.7037,15,1604,0
23.7356,16,1828,109
23.7676,17,960,24
23.7996,18,2020,5
23.8316,19,1556,-44
23.8636,20,2206,4
23.8956,21,2079,0
23.9277,22,1221,-2
23.9596,23,2075,0
23.9916,24,1599,0
24.0235,25,1733,-3
24.0724,3,285,-54
24.1035,4,3528,0
24.1355,5,2013,28
24.1674,6,3456,65
24.1995,7,1911,-16
24.2316,9,1521,-41
24.2635,10,2355,-4
24.2955,11,2841,0
24.3275,12,898,0
24.3594,13,2049,0
24.3914,14,1585,0
24.4234,15,1604,0
24.4553,16,1828,109
24.4873,17,960,28
24.5193,18,2021,1
24.5513,19,1556,-44
24.5832,20,2208,0
24.6153,21,2050,-50
24.6473,22,1221,-5
24.6793,23,2075,0
24.7113,24,1599,0
24.7433,25,1729,0
24.7923,3,285,-54
24.8232,4,3528,0
24.8552,5,2013,25
24.8872,6,3456,63
24.9192,7,1911,-15
24.9512,9,1521,-40
24.9831,10,2355,-2
25.0152,11,2842,0
25.0471,12,898,0
25.0791,13,2050,0
25.1111,14,1586,0
25.1431,15,1604,0
25.1752,16,1828,109
25.2071,17,960,29
25.239,18,2020,5
25.271,19,1556,-46
25.303,20,2208,0
25.335,21,2050,-50
25.3669,22,1221,-6
25.3989,23,2076,0
25.431,24,1599,0
25.463,25,1729,0
25.5114,3,285,-54
25.543,4,3529,0
25.5751,5,2014,27
25.6069,6,3456,64
25.6389,7,1911,-14
25.6709,9,1521,-41
25.7029,10,2354,-6
25.7349,11,2841,0
25.7669,12,898,0
25.7988,13,2049,0
25.8308,14,1585,0
25.8629,15,1604,0
25.8949,16,1828,108
25.9268,17,960,30
25.959,18,2020,4
25.9909,19,1556,-45
26.0228,20,2208,0
26.0548,21,2050,-53
26.0867,22,1221,-6
26.1188,23,2069,-2
26.1507,24,1599,0
26.1827,25,1729,0
26.2312,3,285,-55
26.2627,4,3528,0
26.2946,5,2014,21
26.3268,6,3456,63
