time,motor,position,current
18.8383,7,1911,-14
18.8702,8,2647,20
18.9021,9,1613,5
18.9342,10,2286,-20
18.9662,11,2877,-6
18.9982,12,1056,-26
19.0301,13,2045,4
19.0621,14,1583,0
19.0941,15,1766,0
19.1261,16,1828,105
19.1581,17,962,15
19.1901,18,2022,3
19.2221,19,1556,-41
19.2541,20,2144,-10
19.2861,21,2085,3
19.318,22,1327,-30
19.35,23,2074,0
19.382,24,1597,0
19.4141,25,1804,0
19.5104,3,281,-24
19.542,4,3528,0
19.574,5,2034,-6
19.6059,6,3462,21
19.6379,7,1911,-12
19.6699,8,2647,20
19.702,9,1613,6
19.7339,10,2286,-20
19.7659,11,2877,-6
19.7979,12,1056,-25
19.8299,13,2044,4
19.8619,14,1583,0
19.8939,15,1766,0
19.9259,16,1827,105
19.9578,17,962,14
19.9898,18,2022,0
20.0218,19,1556,-37
20.0538,20,2144,-11
20.0858,21,2085,5
20.1178,22,1327,-24
20.1498,23,2074,0
20.1818,24,1597,0
20.2137,25,1804,0
20.3101,3,281,-25
20.3417,4,3528,0
20.3737,5,2034,-6
20.4057,6,3462,21
20.4377,7,1911,-13
20.4697,8,2647,19
20.5017,9,1613,6
20.5337,10,2286,-20
20.5656,11,2877,-7
20.5977,12,1056,-25
20.6295,13,2045,4
20.6616,14,1583,0
20.6936,15,1766,0
20.7256,16,1828,103
20.7575,17,962,16
20.7895,18,2022,0
20.8215,19,1556,-26
20.8536,20,2144,-12
20.8856,21,2085,2
20.9175,22,1327,-18
20.9495,23,2074,0
20.9815,24,1597,0
21.0134,25,1804,0
21.1099,3,281,-25
21.1414,4,3528,0
21.1734,5,2034,-5
21.2054,6,3462,22
21.2374,7,1911,-18
21.2693,8,2647,18
21.3014,9,1612,5
21.3334,10,2286,-21
21.3654,11,2877,-6
21.3974,12,1056,-25
21.4293,13,2045,2
21.4613,14,1583,0
21.4935,15,1766,0
21.5253,16,1827,106
21.5573,17,962,16
21.5893,18,2022,0
21.6213,19,1555,-44
21.6532,20,2144,-11
21.6852,21,2085,6
21.7172,22,1327,-18
21.7492,23,2073,0
21.7812,24,1597,0
21.8132,25,1804,0
21.9095,3,281,-24
21.9411,4,3528,0
21.9731,5,2034,-5
22.0049,6,3462,23
22.037,7,1912,-15
22.069,8,2647,19
22.1011,9,1613,3
22.1329,10,2286,-21
22.1648,11,2877,-6
22.1969,12,1056,-25
22.2289,13,2045,2
22.261,14,1583,0
22.2929,15,1766,0
22.3248,16,1828,106
22.3568,17,962,15
22.3887,18,2022,0
22.4208,19,1556,-28
22.4528,20,2144,-11
22.4847,21,2085,7
22.5166,22,1327,-18
22.5487,23,2073,0
22.5807,24,1597,0
22.6127,25,1804,0
22.7089,3,281,-25
22.7405,4,3528,0
22.7725,5,2034,-6
22.8045,6,3462,23
22.8365,7,1911,-17
22.8687,8,2647,19
22.9008,9,1612,4
22.9327,10,2286,-20
22.9644,11,2877,-6
22.9964,12,1056,-24
23.0284,13,2045,4
23.0602,14,1583,0
23.0923,15,1766,0
23.1332,16,1827,105
23.1562,17,962,15
23.1881,18,2021,0
23.2202,19,1556,-36
23.2522,20,2144,-11
23.2841,21,2085,4
23.3161,22,1327,-17
23.3481,23,2074,0
23.38,24,1597,0
23.4121,25,1804,0
23.5083,3,281,-24
23.5399,4,3528,0
23.5719,5,2034,-6
23.6039,6,3462,22
23.6359,7,1911,-27
23.6679,8,2647,19
23.6999,9,1612,4
23.7319,10,2286,-21
23.7638,11,2877,-6
23.7959,12,1056,-25
23.8278,13,2045,4
23.8598,14,1583,0
23.8918,15,1766,0
23.9238,16,1828,106
23.9557,17,962,4
23.9877,18,2022,0
24.0197,19,1555,-27
24.0516,20,2144,-9
24.0837,21,2085,1
24.1157,22,1327,-18
24.1477,23,2073,0
24.1797,24,1597,0
24.2117,25,1804,0
24.308,3,281,-25
24.3397,4,3528,0
24.3717,5,2034,-4
24.4036,6,3462,22
24.4356,7,1911,-12
24.4676,8,2647,20
24.4995,9,1613,5
24.5316,10,2286,-20
24.5636,11,2877,-6
24.5955,12,1056,-32
24.6275,13,2044,4
24.6595,14,1583,0
24.6915,15,1766,0
24.7235,16,1827,102
24.7555,17,963,12
24.7875,18,2022,0
24.8194,19,1556,-44
24.8514,20,2145,-25
24.8834,21,2085,6
24.9154,22,1327,-30
24.9474,23,2076,0
24.9794,24,1595,3
25.0114,25,1804,0
25.1078,3,281,-24
25.1393,4,3528,0
25.1714,5,2034,-4
25.2034,6,3462,21
25.2353,7,1911,-13
25.2674,8,2647,18
25.2993,9,1613,2
25.3313,10,2286,-44
25.3633,11,2878,-6
25.3952,12,1057,-39
25.4273,13,2044,7
25.4593,14,1583,0
25.4914,15,1766,0
25.5232,16,1827,103
25.5552,17,963,9
25.5872,18,2023,0
25.6192,19,1556,-36
25.6512,20,2145,-26
25.6832,21,2085,4
25.7152,22,1329,-33
25.7472,23,2076,0
25.7791,24,1595,5
25.8111,25,1805,0
25.9076,3,281,-25
25.9391,4,3528,0
25.971,5,2034,-5
26.003,6,3462,22
26.035,7,1911,-17
26.0671,8,2647,18
26.0991,9,1613,3
26.1311,10,2287,-28
26.163,11,2877,-7
26.195,12,1057,-39
26.227,13,2044,4
26.259,14,1583,0
26.291,15,1766,0
26.323,16,1827,103
26.355,17,963,6
26.387,18,2021,7
26.419,19,1556,-43
26.4509,20,2145,-26
26.483,21,2085,6
26.5149,22,1329,-32
26.5469,23,2076,0
26.5789,24,1595,5
26.6109,25,1804,-1
26.7077,3,281,-25
26.739,4,3528,0
26.7709,5,2034,-4
26.8029,6,3462,22
26.8349,7,1911,-12
26.8668,8,2647,20
26.8988,9,1614,0
26.9308,10,2285,-14
26.9628,11,2877,-6
26.9947,12,1056,-26
27.0267,13,2045,1
27.0587,14,1583,0
27.0907,15,1766,0
27.1227,16,1828,105
27.1547,17,963,9
27.1868,18,2021,10
27.2194,19,1556,-42
27.2508,20,2145,-19
27.2827,21,2085,5
27.3147,22,1328,-38
27.3467,23,2074,0
27.3786,24,1596,0
27.4106,25,1804,0
27.5074,3,281,-24
27.5388,4,3528,0
27.5707,5,2032,0
27.6027,6,3462,22
27.6346,7,1911,-16
27.6667,8,2647,19
27.699,9,1614,1
27.7307,10,2285,-13
27.7625,11,2877,-6
27.7947,12,1055,-31
27.8266,13,2045,1
27.8586,14,1583,0
27.8906,15,1766,0
27.9226,16,1828,114
27.9546,17,964,9
27.9866,18,2021,10
